example_id                                                         | status  | run_time        |
./spec/routing/circuses_routing_spec.rb[1:1:7]                     | passed  | 0.00544 seconds |
./spec/routing/circuses_routing_spec.rb[1:1:8]                     | passed  | 0.00658 seconds |
./spec/routing/invitations_routing_spec.rb[1:1:1]                  | passed  | 0.0048 seconds  |
./spec/routing/invitations_routing_spec.rb[1:1:2]                  | passed  | 0.00619 seconds |
./spec/routing/invitations_routing_spec.rb[1:1:3]                  | passed  | 0.00579 seconds |
./spec/routing/invitations_routing_spec.rb[1:1:4]                  | passed  | 0.00565 seconds |
./spec/routing/invitations_routing_spec.rb[1:1:5]                  | passed  | 0.007 seconds   |
./spec/routing/invitations_routing_spec.rb[1:1:6]                  | passed  | 0.00565 seconds |
./spec/routing/invitations_routing_spec.rb[1:1:7]                  | passed  | 0.00718 seconds |
./spec/routing/invitations_routing_spec.rb[1:1:8]                  | passed  | 0.0063 seconds  |
./spec/routing/localities_routing_spec.rb[1:1:1]                   | passed  | 0.00623 seconds |
./spec/routing/localities_routing_spec.rb[1:1:2]                   | passed  | 0.00482 seconds |
./spec/routing/localities_routing_spec.rb[1:1:3]                   | passed  | 0.00668 seconds |
./spec/routing/localities_routing_spec.rb[1:1:4]                   | passed  | 0.00527 seconds |
./spec/routing/localities_routing_spec.rb[1:1:5]                   | passed  | 0.00608 seconds |
./spec/routing/localities_routing_spec.rb[1:1:6]                   | passed  | 0.00638 seconds |
./spec/routing/localities_routing_spec.rb[1:1:7]                   | passed  | 0.00533 seconds |
./spec/routing/localities_routing_spec.rb[1:1:8]                   | passed  | 0.00587 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:1]                 | passed  | 0.00526 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:2]                 | passed  | 0.007 seconds   |
./spec/routing/transactions_routing_spec.rb[1:1:3]                 | passed  | 0.00581 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:4]                 | passed  | 0.00597 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:5]                 | passed  | 0.00602 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:6]                 | passed  | 0.00485 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:7]                 | passed  | 0.00586 seconds |
./spec/routing/transactions_routing_spec.rb[1:1:8]                 | passed  | 0.00575 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:1]                | passed  | 0.00499 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:2]                | passed  | 0.00585 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:3]                | passed  | 0.00526 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:4]                | passed  | 0.00481 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:5]                | passed  | 0.00582 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:6]                | passed  | 0.00445 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:7]                | passed  | 0.00496 seconds |
./spec/routing/user_profiles_routing_spec.rb[1:1:8]                | passed  | 0.00493 seconds |
./spec/system/authentication_spec.rb[1:1]                          | failed  | 0.16847 seconds |
./spec/system/user_registration_spec.rb[1:1]                       | passed  | 0.15821 seconds |
./spec/system/user_registration_spec.rb[1:2]                       | failed  | 0.21385 seconds |
./spec/system/user_registration_spec.rb[1:3]                       | failed  | 0.04039 seconds |
./spec/system/user_registration_spec.rb[1:4]                       | failed  | 0.03861 seconds |
./spec/views/billing/cancel.html.erb_spec.rb[1:1]                  | pending | 0.00001 seconds |
./spec/views/billing/create_checkout_session.html.erb_spec.rb[1:1] | pending | 0.00001 seconds |
./spec/views/billing/portal.html.erb_spec.rb[1:1]                  | pending | 0.00003 seconds |
./spec/views/billing/success.html.erb_spec.rb[1:1]                 | pending | 0.00002 seconds |
./spec/views/circus/edit.html.erb_spec.rb[1:1]                     | failed  | 0.00788 seconds |
./spec/views/circus/index.html.erb_spec.rb[1:1]                    | failed  | 0.00592 seconds |
./spec/views/circus/new.html.erb_spec.rb[1:1]                      | failed  | 0.0071 seconds  |
./spec/views/circus/show.html.erb_spec.rb[1:1]                     | failed  | 0.00644 seconds |
./spec/views/circus_users/destroy.html.erb_spec.rb[1:1]            | pending | 0.00001 seconds |
./spec/views/circus_users/edit.html.erb_spec.rb[1:1]               | pending | 0.00001 seconds |
./spec/views/circus_users/update.html.erb_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/views/custom_invitations/create.html.erb_spec.rb[1:1]       | pending | 0.00001 seconds |
./spec/views/dashboard/index.html.erb_spec.rb[1:1]                 | pending | 0.00002 seconds |
./spec/views/errors/not_found.html.erb_spec.rb[1:1]                | pending | 0.00002 seconds |
./spec/views/home/index.html.erb_spec.rb[1:1]                      | pending | 0.00001 seconds |
./spec/views/invitations/edit.html.erb_spec.rb[1:1]                | failed  | 0.01276 seconds |
./spec/views/invitations/index.html.erb_spec.rb[1:1]               | failed  | 0.01188 seconds |
./spec/views/invitations/new.html.erb_spec.rb[1:1]                 | passed  | 0.01349 seconds |
./spec/views/invitations/show.html.erb_spec.rb[1:1]                | failed  | 0.01156 seconds |
./spec/views/localities/edit.html.erb_spec.rb[1:1]                 | failed  | 0.00547 seconds |
./spec/views/localities/index.html.erb_spec.rb[1:1]                | failed  | 0.00633 seconds |
./spec/views/localities/new.html.erb_spec.rb[1:1]                  | failed  | 0.0061 seconds  |
./spec/views/localities/show.html.erb_spec.rb[1:1]                 | failed  | 0.00794 seconds |
./spec/views/payment_methods/create.html.erb_spec.rb[1:1]          | pending | 0.00001 seconds |
./spec/views/payment_methods/destroy.html.erb_spec.rb[1:1]         | pending | 0.00001 seconds |
./spec/views/payment_methods/index.html.erb_spec.rb[1:1]           | pending | 0.00001 seconds |
./spec/views/payment_methods/new.html.erb_spec.rb[1:1]             | pending | 0.00001 seconds |
./spec/views/transactions/edit.html.erb_spec.rb[1:1]               | failed  | 0.02204 seconds |
./spec/views/transactions/index.html.erb_spec.rb[1:1]              | failed  | 0.00913 seconds |
./spec/views/transactions/new.html.erb_spec.rb[1:1]                | failed  | 0.11735 seconds |
./spec/views/transactions/show.html.erb_spec.rb[1:1]               | failed  | 0.00991 seconds |
./spec/views/user_profiles/edit.html.erb_spec.rb[1:1]              | failed  | 0.00629 seconds |
./spec/views/user_profiles/index.html.erb_spec.rb[1:1]             | failed  | 0.00697 seconds |
./spec/views/user_profiles/new.html.erb_spec.rb[1:1]               | failed  | 0.00696 seconds |
./spec/views/user_profiles/show.html.erb_spec.rb[1:1]              | failed  | 0.00681 seconds |
